1p_4c_Truepf	4p_4c_Truepf	2p_2c_Truepf	1p_1c_Truepf	4p_1c_Truepf	4p_4c_Falsepf	1p_2c_Truepf	2p_1c_Truepf	1p_1c_Falsepf
29.389710469161066	29.359942132680782	29.282531691960408	29.39613084705249	29.33602453686867	29.38688637474211	29.335931956855013	29.301479214665427	29.357722597925473
29.406157276048035	29.422617952753498	29.371685739253056	29.49610796901514	29.380178912001046	29.389808867512002	29.37693711128707	29.335931956855013	29.43666736535752
29.457547795504304	29.49193346715085	29.38971046916107	29.512299238037563	29.414866577204734	29.394545054645757	29.468685501675164	29.36470343938268	29.444252066043216
29.467946707390084	29.55554346361303	29.44594538421001	29.604467259744933	29.442772070143466	29.400022776253152	29.57869298549509	29.39710837265069	29.455189856520395
29.535817085549894	29.578461088447852	29.505974163462533	29.607981473481548	29.44308128990414	29.409445370916266	29.583540579637656	29.448977364155407	29.467666099020345
29.575110488124068	29.616683419324495	29.55932589323784	29.61557611421771	29.498099054855818	29.44594538421001	29.594549153427828	29.462230187407894	29.56931066469154
29.57854594525184	29.622960880089792	29.58450317427278	29.617015939342586	29.529922992677303	29.4584351896934	29.59913410101258	29.54004044018076	29.594120299621625
29.625117228783957	29.632040950927937	29.58703592111483	29.637306071111453	29.534018097343637	29.524242391092272	29.609873494012508	29.55241628639537	29.602572991401306
29.631223208704245	29.636546310855355	29.602352557185405	29.641387317012878	29.542932865744	29.52889188846968	29.61050673034483	29.561622294872194	29.618240789857126
29.642547444442425	29.647484330563486	29.611956888215012	29.64849112298621	29.579543664403552	29.545318073480868	29.623924482470052	29.57579057209253	29.63124218425327
29.657187749792843	29.657324223420478	29.614422904542014	29.656337126550596	29.629126332272794	29.58160233309429	29.650349812843597	29.58703592111483	29.635126852999104
29.661621772474966	29.663633650567377	29.632535236047637	29.656611856452855	29.633161023935273	29.588924659921826	29.651695734995883	29.602352557185405	29.651290199234605
29.67889434662865	29.670652335972242	29.646125726846204	29.657035383603485	29.643345495110403	29.60002630410791	29.652295793706443	29.605916265213537	29.65827687910268
29.68198990432122	29.678998954431066	29.662324853137527	29.665937380206735	29.653145336214312	29.605916265213537	29.660660795860682	29.622299365488026	29.66282521199835
29.696788618614193	29.708579193120663	29.68444755954324	29.671289411776062	29.653272305613488	29.607236796165132	29.667525561145766	29.651290199234605	29.672448134331567
29.703076631080627	29.73965325071019	29.689679613139415	29.683905250751764	29.695791341644014	29.608008899763743	29.680582978508752	29.67230925716262	29.67320198689154
29.705597643570016	29.75452982087425	29.70111730839419	29.687875538285777	29.704252835579	29.619429006830284	29.685375789457368	29.68623124846177	29.681952529823963
29.711515916824727	29.756453894807375	29.718462601038148	29.696652375084	29.71446055713006	29.62058810018354	29.68960791183775	29.6922649458394	29.68289848829091
29.711530293371883	29.76017791488781	29.730108408237683	29.706833353111296	29.719975477028413	29.621829870181358	29.70118511127036	29.694590833669277	29.69088682662604
29.71217367087785	29.77297456409437	29.733321097706664	29.712709208339756	29.725108351412327	29.627566173382743	29.714664868759	29.696184580769387	29.70118825654879
29.714827895724078	29.78066985465957	29.733532154614217	29.722131867108445	29.744099753043393	29.62838476532142	29.71656187022545	29.709658919260928	29.70506811513679
29.724426503789473	29.781682945908283	29.734634579067052	29.726716528375345	29.746700970858296	29.64945439121119	29.720897307628867	29.715806819118168	29.706483977765707
29.72551521327896	29.795730357483198	29.743290156030596	29.730370158967716	29.75710614991143	29.670842856293888	29.72506095192685	29.722745333054764	29.70817310003096
29.743003794879467	29.798828377634287	29.746437470883098	29.74059629456255	29.7687603831788	29.678154316019015	29.733649039979	29.72508337352468	29.708545966920052
