annealing_375_shai	greedyhill_253_en	annealing_375_en	greedyhill_253_shai	steepesthill_465_en	steepesthill_465_shai	genetic_132_shai	genetic_132_en
27.759950320272754	29.399930196239502	29.283891088223033	27.775703793644055	29.33602453686867	27.83009719289468	27.759950320272754	29.282439111946747
27.760838292544364	29.43874957346386	29.33602453686867	27.79652050218627	29.35415596634833	27.939230776986307	27.8078319004545	29.3570196399109
27.929024634507282	29.461570292183914	29.370004773850802	27.89675569062805	29.391321785574924	27.94699447357478	27.867908114077338	29.376937111287074
27.99744716773264	29.46512261297113	29.447501543734766	27.95706901807709	29.4484279603054	27.954074679910676	27.905208243087113	29.382713627803035
28.003424994139053	29.466816709855323	29.51686177821166	27.960009295546616	29.47327541599749	27.986775329055515	27.939230776986307	29.39613084705249
28.012227503117792	29.469005528775398	29.545855358513887	27.96295022939556	29.49923179724547	28.015319438796716	27.952618374947825	29.39816700613099
28.013691313723815	29.47185178580636	29.55995147523559	27.969851395761633	29.515471457428795	28.05385743093315	27.969894475103423	29.40141244858502
28.09894439132789	29.498099054855818	29.626982972810982	27.978903792371995	29.58703592111483	28.056029456236303	27.97889533880546	29.408508691201515
28.100857098892902	29.51579769301647	29.62809053952435	28.008192283393907	29.590810576801086	28.064673048623156	27.986310579455292	29.46958596863073
28.102201035538798	29.528426421464477	29.629819073249042	28.03173736154468	29.60002630410791	28.068908830119682	28.003559546244198	29.491605126512788
28.12267988111963	29.532470124842657	29.641387317012885	28.032219387423925	29.602339810906166	28.08607364008796	28.013827462441792	29.51492754758121
28.12398884768463	29.543752681553503	29.643656134127102	28.034479515511894	29.63048485303268	28.096963677734543	28.030585309462552	29.532731666577163
28.143058703916612	29.556516934834384	29.66198680421132	28.041891309273094	29.637334578824866	28.103068979934815	28.034479515511894	29.545562642957606
28.154360090014244	29.56319545047395	29.663264632910938	28.047837460800057	29.647752185811818	28.119620854334247	28.041753302690424	29.54575696016295
