0.8_0.01_x10	0.3_0.01_x10	0.9_0.001_x10	0.7_0.01_x10	0.4_0.01_x10	0.9_0.01_x10	0.9_0.01_x40	0.9_0.01_x5	0.9_0.01_x20	0.6_0.01_x10	0.9_0.01_x3	0.5_0.01_x10
29.38688637474211	29.3570196399109	29.369459148353148	29.359942132680782	29.39887873569056	29.371685739253056	29.283891088223033	29.33602453686867	29.301386634651774	29.368645377588177	29.3570196399109	29.341265203379088
29.396130847052493	29.406157276048035	29.37009735386446	29.399930196239502	29.43884797181479	29.42883887139906	29.389808867512002	29.368302412669898	29.377959377245745	29.395447328711253	29.408995144706683	29.368302412669898
29.403123391375782	29.463263803809355	29.379727341420157	29.43128465197495	29.552328229337224	29.43666736535752	29.431612189748982	29.368737957601834	29.400200898605892	29.395492086132	29.43303305348166	29.400200898605892
29.46512261297113	29.46512261297113	29.397336804300018	29.439270296003315	29.586137177131064	29.514592628812444	29.499458451118446	29.463948543719518	29.454356410883943	29.39932546244105	29.44949866920954	29.421399840216566
29.469206430660797	29.491605126512788	29.418142768043772	29.472016734614733	29.60719151410354	29.554871741594262	29.604140771888897	29.471355544008613	29.505159937650305	29.401412448585024	29.486627048920194	29.466473565474345
29.48106244535703	29.542932865744	29.42361350980787	29.501895988683692	29.60788565240713	29.578754182133892	29.616158492042445	29.50033986711733	29.58703592111483	29.437055550161276	29.5000448627225	29.48106244535703
29.49950122106683	29.56075956911112	29.44919244803489	29.52810810899117	29.608673442215874	29.581251318580936	29.64686807537278	29.51689977843656	29.605916265213537	29.463224628359043	29.50767047232306	29.483101219282037
29.563516834948167	29.57867724633967	29.45094782356475	29.56301649824567	29.619083260943995	29.585662511429753	29.649950725461327	29.566259457275052	29.614527062569344	29.477551521951828	29.51816238951432	29.580447966249164
29.59747332044436	29.602665500521294	29.454356410883943	29.58703592111483	29.62328184645764	29.598790572133836	29.65085782089085	29.610210427829642	29.617419368242	29.50385855363283	29.53015675540568	29.58540211311378
29.60002630410791	29.60455913182113	29.532174843319343	29.61369257986338	29.626957985891025	29.608362938047293	29.660456052955332	29.611025530831153	29.623566181736994	29.555858607682392	29.544845990826243	29.6044461481768
