annealing_375_en	steepesthill_465_en	steepesthill_465_shai	genetic_132_en	genetic_132_shai	annealing_375_shai	greedyhill_253_en	greedyhill_253_shai
29.354155545605018	29.35701963991089	29.400484335941105	29.282439111946747	29.28287641379822	29.430819079431362	29.301386634651774	29.282968367238706
29.368302412669898	29.452581733002255	29.428621714134046	29.3592462308108	29.301667469119092	29.499846733579457	29.353893372177094	29.419680537558055
29.399887094896883	29.46334660364609	29.44802846139743	29.359942132680782	29.342139542674648	29.512464009781564	29.389710469161066	29.423304207103268
29.43666736535751	29.491605126512788	29.52000993570325	29.384022280436234	29.350862967448105	29.520526524625247	29.40498189142187	29.443709217671486
29.449355627485488	29.532270202906794	29.545150904365503	29.408508691201515	29.351455730841124	29.558615429341483	29.412599678687236	29.445952529662275
29.461558674945227	29.556940873966692	29.593137315491678	29.431592745996518	29.39606370194437	29.569704031619516	29.42275923647919	29.45529513278406
29.51256117859974	29.58280345711657	29.613658832678176	29.44594538421001	29.448028461397435	29.576619291093444	29.457530918786162	29.496153666357205
29.51860913040216	29.605916265213537	29.615652705546843	29.44919244803489	29.453985546434733	29.601339922227893	29.45987446733898	29.525324265438915
29.600496556881872	29.60823201386566	29.620476214221842	29.466816709855323	29.456551093535165	29.608360842106677	29.460968126844296	29.538810929992184
29.610237228131034	29.617015939342586	29.621019022644553	29.471409291998633	29.45757327721862	29.60877566979944	29.469177678660124	29.54075436970977
29.626141165596913	29.620242409025707	29.628164549836633	29.480643059684564	29.483777653380496	29.624328466620117	29.471355544008613	29.553766669700245
29.643627802869737	29.620553534611364	29.6307400418999	29.483002820931105	29.499536123702462	29.626078398549634	29.478655744124964	29.56562632615486
29.657202673286708	29.626511299561574	29.64319198476586	29.49680997013862	29.518692481313636	29.65239994757978	29.54004044018076	29.577258694995002
29.66444172540074	29.643106103182596	29.649600356996867	29.501939027678247	29.520257977590745	29.658167969360676	29.545031352753647	29.58984965857341
