x10_True_8p_1c_0.0001t	x10_True_4p_1c_0.0001t	x10_True_4p_1c_0.001t	x5_True_4p_1c_0.0001t	x10_False_1p_1c_0.0001t	x10_True_4p_4c_0.0001t	x10_False_4p_1c_0.0001t	x20_True_4p_1c_0.0001t	x10_True_2p_1c_0.0001t	x40_True_4p_1c_0.0001t	x10_True_4p_1c_1e-05t
29.282439111946747	29.35984373432985	29.28243911194675	29.282439111946747	29.28243911194675	29.335931956855013	29.354127214347656	29.364727648539272	29.301386634651774	29.35701963991089	29.3570196399109
29.452358732166083	29.36626411222127	29.341265203379088	29.28243911194675	29.33589241021828	29.36864537758818	29.38650089154154	29.389667175672734	29.3592462308108	29.366264112221273	29.399930196239502
29.518574562633656	29.40002277625316	29.36943039635247	29.37165698725238	29.33602453686867	29.469005528775398	29.440824363394796	29.398977134041495	29.376937111287074	29.403424586143615	29.407477578127736
29.519371176481368	29.45913807129635	29.371001286531957	29.389710469161066	29.3570196399109	29.47424530353206	29.444280073653616	29.407635748444058	29.38399394917888	29.4158081963402	29.457530918786162
29.563805150899675	29.469005528775398	29.444964962840338	29.43874957346386	29.362476848482775	29.5211391156142	29.467946707390084	29.435925479044897	29.39887873569056	29.452997014621317	29.459874467338977
29.602781375626268	29.49222293870251	29.461319399604918	29.45721639645837	29.37717638662738	29.528426421464477	29.483592027979377	29.450730318000502	29.404981891421873	29.454665552880243	29.46512261297113
29.60727270043509	29.51816238951432	29.51339323676723	29.466816709855323	29.380080513650118	29.533662924139268	29.49967333698537	29.454275400645862	29.44217456662442	29.456814958146722	29.469045890818972
29.609455375076767	29.52335652406523	29.534018097343637	29.471032006161987	29.380966945621132	29.534018097343637	29.51481222849425	29.45467981198171	29.45071834164027	29.46032122558008	29.5383598065224
29.614910721192008	29.541603011692203	29.545420770480227	29.528108108991166	29.397308473042656	29.563123484537464	29.556796543536514	29.463224628359047	29.454613654323357	29.51214954254492	29.555343622185575
29.617605691188132	29.54268584549969	29.553720934328897	29.54268584549969	29.40498189142187	29.571021771232076	29.567480994333543	29.485153720376072	29.469825243971044	29.530542102760844	29.555537123951634
29.6198234121806	29.56697697661737	29.558257002431304	29.54505521585746	29.40850869120151	29.57929706580603	29.572954441500965	29.495478437363538	29.471355544008613	29.540696543272023	29.556516934834384
29.626828992499505	29.569622223033623	29.563805150899675	29.546718721997987	29.41171792876349	29.579459248459404	29.576031879141	29.542685845499687	29.472570140024146	29.541603011692196	29.5765801179189
