4g_2s_0.1m_0.01r_x174	4g_2s_0.1m_0.1r_x300	4g_2s_0m_0.01r_x300	3g_2s_0.1m_0.01r_x192	2g_2s_0.1m_0.01r_x235	4g_1s_0.1m_0.01r_x134	4g_2s_0.2m_0.01r_x300	4g_8s_0.1m_0.01r_x172	4g_4s_0.1m_0.01r_x176	5g_2s_0.1m_0.01r_x128	1g_2s_0.1m_0.01r_x299	4g_2s_0.1m_0.01r_x300	4g_8s_0.1m_0.01r_x172	4g_3s_0.1m_0.01r_x174
29.28243911194675	29.30138663465177	29.28243911194675	29.282439111946747	29.282439111946747	29.28243911194675	29.282439111946747	29.282439111946747	29.30138663465177	29.35415596634833	29.282439111946747	29.28243911194675	29.282439111946747	29.282531691960408
29.335931956855013	29.350764507211686	29.282439111946747	29.335892410218282	29.350764507211693	29.301479214665427	29.28243911194675	29.301386634651774	29.352991098111602	29.35984373432985	29.35415596634833	29.282439111946747	29.282531691960408	29.30138663465177
29.350764507211693	29.3570196399109	29.350764507211693	29.35166678127719	29.359942132680782	29.354155545605018	29.350764507211686	29.354155545605018	29.354127214347656	29.36864537758818	29.359942132680782	29.350764507211693	29.350764507211693	29.350764507211686
29.354155545605018	29.371001286531957	29.354155545605018	29.3592462308108	29.408802965942215	29.366264112221273	29.35166678127719	29.3570196399109	29.356382557248242	29.389808867512002	29.368645377588177	29.350764507211686	29.359942132680782	29.35166678127719
29.359942132680782	29.37439232492528	29.359942132680782	29.368490703121186	29.41719313191645	29.37436399366792	29.37717638662738	29.362070325229762	29.368737957601834	29.395492086131995	29.382713627803035	29.35415596634833	29.37693711128707	29.37717638662738
29.38911296564202	29.37717638662738	29.37436399366792	29.3837880668835	29.435925479044897	29.377256419231163	29.38911296564202	29.382713627803035	29.37693711128707	29.450424036504657	29.38911296564202	29.376937111287074	29.37717638662738	29.389695506930092
29.395492086132	29.398357437952406	29.376937111287074	29.389710469161066	29.45032563815372	29.389808867512002	29.39887873569056	29.399930196239502	29.377256419231163	29.457530918786166	29.397009974299756	29.39887873569056	29.400022776253152	29.395492086132
29.395492086131995	29.398357437952402	29.394185879880798	29.395492086132	29.462230187407894	29.401412448585024	29.407635748444058	29.433061384739023	29.378641956370295	29.45923065131001	29.406157276048035	29.399930196239502	29.40850869120151	29.397009974299756
29.409445370916266	29.39932546244105	29.39793786670789	29.39816700613099	29.489789519638236	29.407635748444058	29.407635748444058	29.45987446733898	29.389808867512002	29.472570140024146	29.408508691201515	29.401349889026267	29.439270296003315	29.40850869120151
29.440492999300563	29.403123391375782	29.40141244858502	29.40343035219118	29.50429338864076	29.410964882306246	29.40883219604703	29.460321225580078	29.39454505464576	29.491605126512788	29.415585886863525	29.407728328457715	29.439947975724508	29.440492999300567
29.452997014621317	29.40342458614362	29.405349982275688	29.452997014621317	29.51334784474431	29.50261978907976	29.411504943191616	29.46107772493294	29.39613084705249	29.492222938702515	29.44516995135528	29.411717928763487	29.44516995135528	29.44516995135528
29.456746016045145	29.42883887139906	29.407635748444058	29.456545236333632	29.51899475463279	29.514474425042046	29.41729153026738	29.471032006161987	29.411504943191616	29.492836663412778	29.47841646878466	29.41436903749749	29.461319399604918	29.459441029364783
29.461558674945227	29.45032563815372	29.42518729925364	29.463807982854217	29.54004044018076	29.529259084152656	29.421921613416224	29.479194554004344	29.4488678769799	29.498828598383604	29.49121747734701	29.421399840216566	29.462258518665255	29.461558674945227
29.468045105741023	29.450424036504657	29.447501543734774	29.473170347835893	29.546966579871036	29.53655877259951	29.42883887139906	29.486744929430532	29.44919244803489	29.523756052153452	29.49910603668592	29.42883887139906	29.4690055287754	29.462230187407894
29.468462462135076	29.4562503328162	29.457530918786162	29.478655744124964	29.56075956911112	29.544845990826246	29.440492999300567	29.52877905787541	29.457530918786166	29.52471734101626	29.515400406668036	29.4428704684944	29.469005528775398	29.46638098546068
29.515400406668036	29.459441029364783	29.459804675223264	29.490260141764715	29.571132846409075	29.546688477282693	29.44499866104338	29.534018097343637	29.462230187407894	29.525501579388305	29.527457083744913	29.447501543734774	29.47929295235528	29.469005528775398
29.54004044018076	29.461558674945227	29.461319399604918	29.49197392342976	29.579963986806746	29.559264797580088	29.460968126844296	29.537482556319222	29.462920978957232	29.53060709553993	29.534018097343637	29.45032563815372	29.500216033246357	29.472137236371914
29.5441322055385	29.467666099020345	29.462001821263385	29.504783685487325	29.59955232852385	29.564210960234288	29.463224628359043	29.55265729271398	29.463224628359043	29.534018097343637	29.54319283285814	29.457530918786162	29.518162389514316	29.47841646878466
29.544845990826246	29.46919328192342	29.462258518665248	29.508932919459063	29.60174390371975	29.566259457275056	29.463594241871313	29.555353267977516	29.46388747345296	29.541963407904728	29.54352052963978	29.457835480203855	29.524428055770976	29.488254633013025
29.54505521585746	29.47756170067006	29.469825243971044	29.51481222849425	29.60268108115544	29.571114351245736	29.467127106783487	29.559807306119254	29.471032006161987	29.545648769901995	29.564389006988172	29.46565931433143	29.53321833562266	29.533662924139268
29.545467768973502	29.47841646878466	29.472617081270375	29.51806731276325	29.60278137562628	29.589208459117124	29.470011325243878	29.572753855216497	29.472051834870953	29.54585535851389	29.566493171031073	29.466473565474345	29.538035796862005	29.543838103220388
29.54839169271366	29.489671475725736	29.474367085281507	29.531314678661403	29.605916265213537	29.589534046335647	29.48376146976967	29.588417215151754	29.47994621451015	29.555356512482895	29.57414447326022	29.47573656558734	29.544845990826246	29.558855568320805
29.550059237605016	29.493262044500266	29.49923179724547	29.53648398912862	29.60798147348155	29.601451913705365	29.496142599534714	29.589340990501015	29.496837701241237	29.559511255165248	29.575110488124068	29.47841646878466	29.548678011363393	29.559192565605006
