hemming_distance	count
29	61064
30	59172
19	85
22	424
15	13
26	5850
24	1346
17	21
27	14143
28	33685
23	720
25	2661
20	154
21	261
18	73
13	3
10	1
16	14
14	8
11	1
12	1
--------------------------------
cluster	count	score
0	1	29.37864195637029
1	1	29.43053250849385
2	1	29.47489419864231
3	1	29.55919256560502
4	2	29.603044956966755
5	1	29.648030726714563
6	1	29.660857152816327
7	1	29.661466310063755
8	1	29.66471845530616
9	1	29.665090488583772
11	1	29.679996072228192
12	1	29.68642349251021
13	1	29.697581477164473
14	1	29.704669678950314
15	1	29.706227943498916
16	1	29.745506991327442
17	1	29.77628722941699
18	1	29.78507202600194
19	1	29.790532733006064
20	1	29.791462733539134
21	1	29.791637768955397
22	1	29.796874850915625
23	1	29.812058301954696
24	1	29.82846010336126
25	1	29.83370827097848
26	1	29.85014132063907
27	1	29.85837271727067
28	1	29.858500994363574
29	1	29.859362316165523
30	1	29.867371574803034
31	1	29.874538392222068
32	1	29.88178246462544
33	1	29.8873025792471
34	1	29.891902696753487
35	1	29.903138505648805
36	1	29.903804071805915
37	1	29.91280989353951
38	1	29.92418720983487
39	1	29.924567036035157
40	1	29.927530893504276
41	1	29.932183207112953
42	1	29.937931201455555
43	1	29.948126443291713
44	1	29.950823278775044
45	1	29.951802032372736
46	1	29.96381791368674
47	1	30.00771114877171
48	1	30.024220177853937
49	1	30.024980866023764
50	1	30.025861343996095
51	1	30.036157300880088
52	1	30.036268787538493
53	1	30.04101568837178
54	1	30.055602735234203
55	1	30.05901990940449
56	1	30.06434684848798
57	1	30.072720927476198
58	1	30.07661587673531
59	1	30.083547257516795
60	1	30.083708747401314
61	1	30.084094574577314
62	1	30.107346892181866
63	1	30.121233470359215
64	1	30.12227727091454
65	1	30.12386179400384
66	1	30.12716152234113
67	1	30.129588967899533
68	1	30.13556201084157
69	1	30.145409213082324
70	1	30.148682292317968
71	1	30.163959507010865
72	1	30.16399436690859
73	1	30.166736826983595
74	1	30.17460363890065
75	1	30.179259635568396
76	1	30.180025307860454
77	1	30.180944724833765
78	1	30.191337012827283
79	1	30.19237929300619
80	1	30.196962546996676
81	1	30.19771027604786
82	1	30.198653682481243
83	1	30.20210737289755
84	1	30.206583537835765
85	1	30.230782761954142
86	1	30.232327950581297
87	1	30.235666246947023
88	1	30.258214990499557
89	1	30.26332428478365
90	1	30.263917080816043
91	1	30.264201286507674
92	1	30.265177580838927
93	1	30.27495819175719
94	1	30.279233046425997
95	1	30.284636365379434
96	1	30.28749793933278
97	1	30.28851976751249
98	1	30.30032300683626
99	1	30.304718808481876
100	1	30.305942505582607
101	1	30.312862456333253
102	1	30.31309220807937
103	1	30.314234354194273
104	1	30.31435271566903
105	1	30.317886649312566
106	1	30.322534390443774
107	1	30.325911490695514
108	1	30.32829617606838
109	1	30.331594860059447
110	1	30.335637967247912
111	1	30.33697792325841
112	1	30.33738758544155
113	1	30.340634270139418
114	1	30.343816623311294
115	1	30.344646150977113
116	1	30.352662359180673
117	1	30.353346804903907
118	1	30.360325756810546
119	1	30.363783985937026
120	1	30.366801719022664
121	1	30.369672318476624
122	1	30.37688962955801
123	1	30.377036806732363
124	1	30.37846047657043
125	1	30.37980736046052
126	1	30.380706740044975
127	1	30.38178394117621
128	1	30.382437117953526
129	1	30.384929550157352
130	1	30.38946336082344
131	1	30.410318032618125
132	1	30.419798672959775
133	1	30.421337996183965
134	1	30.421482701349486
135	1	30.42447656203376
136	1	30.42813004744042
137	1	30.450989882409495
138	1	30.452351474443294
139	1	30.456807670381703
140	1	30.457530633945613
141	1	30.458329133419337
142	1	30.45980135807295
143	1	30.462140998862882
