greedyhill_gsa_True	annealing_gsa_False	greedyhill_gsa_False	annealing_gsa_True	steepesthill_gsa_False	steepesthill_gsa_True
29.33589241021828	29.45987446733898	29.352991098111602	29.41147865342318	29.51853546203961	29.403024993024847
29.356353805247565	29.469974068230552	29.417226794180948	29.435925479044897	29.625135603999695	29.407477578127736
29.368645377588177	29.478655744124964	29.472051834870953	29.499647728718266	29.696924208195004	29.44717249921685
29.378641956370295	29.608362938047293	29.48054849417686	29.54814163321716	29.807860581143444	29.459940631433703
29.411717928763487	29.6303101840019	29.4937991546108	29.552177338054374	29.819498703963173	29.54071997606229
29.452358732166086	29.65374441294723	29.509297046829413	29.56094493103853	29.8422441012289	29.545561338191096
29.452997014621317	29.666103665206442	29.54608736211266	29.58096095018448	29.846328143462213	29.581582406935826
29.459874467338977	29.683086380884923	29.554447115935552	29.64546478723166	29.870333410005426	29.596392151317424
29.462230187407894	29.686994775476478	29.589423767698054	29.65222431180399	29.876673428954085	29.630803576735772
29.46512261297113	29.71830060037563	29.604714021014928	29.65485755117043	29.906092729240346	29.63082211468729
29.4690055287754	29.778670984938465	29.608697533509748	29.665388058727146	29.917960710915278	29.651290199234605
29.501301958238408	29.78966072834001	29.616907039892908	29.665937380206735	29.938329490852908	29.654600068874906
29.531340414633927	29.79013565483184	29.632645343714856	29.67656963067395	29.951714318622688	29.662324853137534
29.54273307670814	29.791129867486937	29.63604960668686	29.68015880879681	29.96039443375203	29.66647634468747
29.546022677954788	29.79932585603191	29.647632810323252	29.694580790844928	29.989743868242474	29.693356348778575
29.571021771232083	29.812553932117492	29.64976351425906	29.708780573953334	30.00060339189629	29.705295421343326
29.57203397451562	29.819865801109085	29.650879690793914	29.72163502234478	30.01360224337202	29.73353015972003
29.578461088447852	29.820310319984355	29.65799544334339	29.733861858387588	30.019297157613547	29.744416976660265
29.57869298549508	29.822265617493144	29.658739076122053	29.736793616855632	30.023347618251393	29.746279810847657
29.58703592111483	29.82538489933373	29.659397543455054	29.73779666351187	30.023711764699385	29.74710459637005
29.587599767203347	29.83554690820803	29.65977879259849	29.73867019436437	30.026465581430323	29.75177735266691
29.589190397925936	29.842148473275383	29.6603457056878	29.750727365576864	30.035421912150678	29.78292301793795
29.591335379593225	29.846940898281122	29.6617409332772	29.7616884212607	30.040650375157803	29.782925144708035
29.59828693708744	29.850575060133167	29.66692251289225	29.77155010496639	30.041896919711	29.790763078679305
29.602499964750432	29.850606250289026	29.67576044635441	29.787869661686123	30.05140695727768	29.793387584606
29.610656327049742	29.853363011765982	29.67758613174474	29.788696868612657	30.05589684193246	29.79716223525418
29.612995535569794	29.860599734301605	29.680378761165272	29.801268732329984	30.056771192643755	29.797791067057325
29.615179894413277	29.86197919887472	29.685625163868192	29.806972915469608	30.062501732522723	29.811846845535456
29.61681252251893	29.865688839135025	29.685790913854145	29.81239613458776	30.062540816697854	29.826932088153058
29.617605691188132	29.868236692569162	29.68860461758532	29.813111883759895	30.078423180249942	29.82897663220856
29.620518795715302	29.868697581851926	29.68867081206863	29.813409734915744	30.093857693365717	29.833627526233414
29.62238913116696	29.87508065089741	29.69579583623981	29.813771857626698	30.103225277915403	29.834940887742995
