greedyhill_gsa_True	annealing_gsa_False	greedyhill_gsa_False	annealing_gsa_True	steepesthill_gsa_False	steepesthill_gsa_True
29.33589241021828	29.45987446733898	29.352991098111602	29.41147865342318	29.51853546203961	29.403024993024847
29.356353805247565	29.463287758861618	29.377959377245745	29.414153573422176	29.568577807084132	29.406021142400427
29.36864537758818	29.469974068230552	29.417226794180948	29.435925479044897	29.625135603999695	29.407477578127736
29.368645377588177	29.472165558874238	29.472051834870953	29.4434646799738	29.690255957368564	29.41353071683271
29.368737957601834	29.47503054014854	29.48054849417686	29.447286034642335	29.696924208195004	29.4267766439936
29.378641956370295	29.4756100373489	29.4937991546108	29.4487942825012	29.70564869842041	29.444145924188827
29.38906726733492	29.477789266742676	29.509297046829413	29.451866892748026	29.754163735404966	29.44717249921685
29.39742349380051	29.478655744124964	29.54608736211266	29.465283096023118	29.78831918354566	29.459940631433703
29.408848940196737	29.480847234768653	29.554447115935552	29.495671665068997	29.799129427660752	29.46292726363136
29.411717928763487	29.48384338414423	29.589423767698054	29.499647728718266	29.807860581143444	29.464770460644342
29.415162407238157	29.491271573006998	29.597550412677496	29.500095418804484	29.819498703963173	29.465050104635885
29.452358732166086	29.49725958741932	29.604714021014928	29.50145481506711	29.82502320793024	29.469470045661893
29.452997014621317	29.50264889269773	29.608697533509748	29.505519576034335	29.8422441012289	29.470448120170314
29.459874467338977	29.517675918020398	29.616907039892908	29.514164538224907	29.846328143462213	29.4740995895833
29.462230187407894	29.535691923540593	29.632645343714856	29.536106967948175	29.870333410005426	29.475875073832867
29.464049531519883	29.54451671597207	29.63604960668686	29.54814163321716	29.876673428954085	29.4836940473312
29.46512261297113	29.559169996670583	29.647632810323252	29.551586111691826	29.877553465201796	29.48658228638487
29.467946707390084	29.58926565392336	29.64976351425906	29.552177338054374	29.881257955256476	29.489121000993755
29.4690055287754	29.608362938047293	29.650879690793914	29.552833441145637	29.898284008069833	29.499998489659962
29.471419594048115	29.60851263353993	29.65799544334339	29.554871741594262	29.900044103952844	29.50174239028567
29.474375975220042	29.61445869203122	29.658739076122053	29.56094493103853	29.90381306748329	29.50566148920248
29.47449896491309	29.627323007518697	29.659397543455054	29.563559821432715	29.906092729240346	29.523030769397714
29.47454618470482	29.6303101840019	29.65977879259849	29.572680017172058	29.912701886418525	29.52465739825086
29.47994117985126	29.63034429161217	29.6603457056878	29.575466230682355	29.917960710915278	29.53948189074552
29.4863365873261	29.65374441294723	29.6617409332772	29.58096095018448	29.9363737540467	29.54071997606229
29.499991935948845	29.654228392389648	29.666745341508555	29.58295664661574	29.938329490852908	29.545561338191096
29.501301958238408	29.666103665206442	29.66692251289225	29.58456686381817	29.940440392898623	29.56369493855889
29.502840218979973	29.66647557334454	29.667904424681257	29.593463541808777	29.949899752278554	29.581582406935826
29.50513866106108	29.666990340108114	29.67576044635441	29.595485361462625	29.950542650168526	29.585044739276654
29.508774317860457	29.670233134493344	29.67758613174474	29.606709468969665	29.951714318622688	29.591126729418704
29.510480747107593	29.675968192616303	29.680378761165272	29.608901564737717	29.96039443375203	29.596392151317424
29.520793036897878	29.680255386567406	29.685625163868192	29.622623648475212	29.96577916273261	29.630803576735772
29.528387048878514	29.683086380884923	29.685790913854145	29.629624476934854	29.98403678137082	29.63082211468729
29.531340414633927	29.683624055310208	29.68860461758532	29.630712799896788	29.988469830355218	29.63121704642816
29.53370021336694	29.686891903945615	29.68867081206863	29.63524126902093	29.989743868242474	29.632633391563925
29.541749621221022	29.686994775476478	29.69579583623981	29.638457722583894	29.990573679530478	29.63305423306111
29.54273307670814	29.687865301408987	29.696749546125766	29.639475244935895	30.00060339189629	29.63893641097814
29.545282341355108	29.692259510226055	29.70001258605457	29.64546478723166	30.000789607912886	29.64036659413765
29.546022677954788	29.693204694760063	29.702979652228255	29.646832365990306	30.010439073872675	29.646961204735533
29.55112266903811	29.694094124567375	29.703521260515057	29.65222431180399	30.01360224337202	29.650441152915967
29.571021771232083	29.698358312808615	29.710366553206683	29.65485755117043	30.018621267479865	29.651290199234605
29.57203397451562	29.705505437386943	29.71067125562839	29.657089532432003	30.019297157613547	29.654600068874906
