optimizer_name	batch_name	seed_id	step	score
greedyhill	batch_8_of_8_with_34	0	0	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	1	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	2	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	3	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	4	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	5	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	6	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	7	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	8	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	9	30.261472889736527
greedyhill	batch_8_of_8_with_34	0	10	30.261472889736527
greedyhill	batch_8_of_8_with_34	1	0	29.887247809255935
greedyhill	batch_8_of_8_with_34	1	1	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	2	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	3	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	4	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	5	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	6	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	7	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	8	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	9	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	10	29.846196452835343
greedyhill	batch_8_of_8_with_34	1	11	29.846196452835343
greedyhill	batch_8_of_8_with_34	2	0	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	1	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	2	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	3	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	4	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	5	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	6	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	7	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	8	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	9	31.557323615628217
greedyhill	batch_8_of_8_with_34	2	10	31.557323615628217
greedyhill	batch_8_of_8_with_34	3	0	29.917119865763937
greedyhill	batch_8_of_8_with_34	3	1	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	2	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	3	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	4	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	5	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	6	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	7	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	8	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	9	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	10	29.854258953621425
greedyhill	batch_8_of_8_with_34	3	11	29.854258953621425
greedyhill	batch_8_of_8_with_34	4	0	31.20038969381386
greedyhill	batch_8_of_8_with_34	4	1	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	2	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	3	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	4	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	5	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	6	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	7	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	8	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	9	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	10	31.069344280886977
greedyhill	batch_8_of_8_with_34	4	11	31.069344280886977
greedyhill	batch_8_of_8_with_34	5	0	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	1	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	2	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	3	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	4	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	5	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	6	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	7	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	8	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	9	30.719068385931724
greedyhill	batch_8_of_8_with_34	5	10	30.719068385931724
greedyhill	batch_8_of_8_with_34	6	0	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	1	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	2	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	3	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	4	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	5	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	6	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	7	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	8	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	9	30.351803401792985
greedyhill	batch_8_of_8_with_34	6	10	30.351803401792985
greedyhill	batch_8_of_8_with_34	7	0	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	1	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	2	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	3	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	4	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	5	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	6	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	7	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	8	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	9	31.063967878482135
greedyhill	batch_8_of_8_with_34	7	10	31.063967878482135
greedyhill	batch_8_of_8_with_34	8	0	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	1	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	2	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	3	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	4	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	5	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	6	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	7	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	8	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	9	30.34067617259313
greedyhill	batch_8_of_8_with_34	8	10	30.34067617259313
greedyhill	batch_8_of_8_with_34	9	0	30.036105158747553
greedyhill	batch_8_of_8_with_34	9	1	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	2	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	3	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	4	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	5	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	6	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	7	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	8	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	9	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	10	29.9788102401152
greedyhill	batch_8_of_8_with_34	9	11	29.9788102401152
greedyhill	batch_8_of_8_with_34	10	0	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	1	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	2	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	3	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	4	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	5	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	6	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	7	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	8	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	9	30.033421554206384
greedyhill	batch_8_of_8_with_34	10	10	30.033421554206384
greedyhill	batch_8_of_8_with_34	11	0	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	1	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	2	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	3	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	4	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	5	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	6	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	7	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	8	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	9	29.942747497230243
greedyhill	batch_8_of_8_with_34	11	10	29.942747497230243
greedyhill	batch_8_of_8_with_34	12	0	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	1	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	2	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	3	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	4	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	5	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	6	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	7	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	8	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	9	30.445257156798398
greedyhill	batch_8_of_8_with_34	12	10	30.445257156798398
greedyhill	batch_8_of_8_with_34	13	0	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	1	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	2	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	3	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	4	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	5	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	6	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	7	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	8	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	9	30.840517260700693
greedyhill	batch_8_of_8_with_34	13	10	30.840517260700693
greedyhill	batch_8_of_8_with_34	14	0	31.969727294021304
greedyhill	batch_8_of_8_with_34	14	1	29.996368791920116
greedyhill	batch_8_of_8_with_34	14	2	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	3	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	4	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	5	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	6	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	7	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	8	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	9	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	10	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	11	29.798262694018867
greedyhill	batch_8_of_8_with_34	14	12	29.798262694018867
greedyhill	batch_8_of_8_with_34	15	0	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	1	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	2	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	3	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	4	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	5	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	6	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	7	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	8	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	9	29.742131653112672
greedyhill	batch_8_of_8_with_34	15	10	29.742131653112672
greedyhill	batch_8_of_8_with_34	16	0	30.79707092047388
greedyhill	batch_8_of_8_with_34	16	1	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	2	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	3	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	4	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	5	30.658668183259266
