x10_False_4p_1c_0.0001t	x40_True_4p_1c_0.0001t	x10_True_4p_1c_0.001t	x10_True_2p_1c_0.0001t	x10_True_4p_1c_0.0001t	x20_True_4p_1c_0.0001t	x10_True_4p_4c_0.0001t	x10_True_8p_1c_0.0001t	x10_False_1p_1c_0.0001t	x5_True_4p_1c_0.0001t	x10_True_4p_1c_1e-05t
29.30147921466543	29.359246230810804	29.439747305644858	29.496809726733712	29.354127214347663	29.356261266588096	29.356353805247565	29.282531691960404	29.772813859681754	29.38271362780304	29.40336240035076
29.430752635714132	29.397107422387176	29.53006567971785	29.540455264633746	29.37717638662738	29.36250105763936	29.35994918882539	29.31936772759492	29.86652569571189	29.432640110420955	29.406719392732047
29.433785834131463	29.405251583924755	29.545810101527664	29.598578547532902	29.400653548347506	29.403603939228717	29.38236121585772	29.350764507211693	29.88039243350507	29.450043974375166	29.459410744355512
29.444217388043917	29.415953756551055	29.559386634452835	29.642721999882042	29.40364969772309	29.40902739163921	29.392805016887582	29.35376065658727	29.903736600642404	29.450612431619604	29.4626660696573
29.45009499198674	29.428775490370327	29.560531769019082	29.648677549075895	29.453586656851957	29.42039818870003	29.39560714301861	29.35701963991089	29.933145905164853	29.45835614065159	29.464716740981313
29.461500039491646	29.43036020942389	29.637669687366596	29.653172749446547	29.463224628359043	29.428985186921746	29.419002691602216	29.367618222905314	29.946100778260917	29.467567700669413	29.46589858967174
29.479959188750122	29.442021417531215	29.647615683564634	29.65828222264873	29.475523417566354	29.431981336297326	29.433744388303943	29.40028699058712	30.010947908873348	29.470364925038027	29.469825243971044
29.49321999394381	29.443606136584773	29.660180336129034	29.666275383449097	29.480790377057463	29.433110987870382	29.45107159799738	29.40354597391074	30.026276398872447	29.471173408775346	29.474867385449787
29.505255655719544	29.443633756387023	29.672469431924902	29.669971811178765	29.491367931355278	29.454609116029314	29.452483334651323	29.407923002025917	30.053843449383326	29.48162880572641	29.477058876093484
29.514381630104594	29.450964375239078	29.6822657485951	29.68051140266435	29.51354074888398	29.47449436855792	29.45632456098757	29.409068661522934	30.05690488193669	29.48507328420108	29.496246779990024
29.520745182313625	29.45838447190895	29.685983921882304	29.685445412850747	29.51906703428344	29.48683040523659	29.46545970856529	29.41417813472512	30.082701307106827	29.485120866032293	29.500323819052955
29.522849623503628	29.462230187407894	29.698658631987698	29.69044927629029	29.519823328501268	29.48774029571881	29.470195599943967	29.45366153581068	30.105369768231075	29.496081215060432	29.505553073703382
29.525996429435388	29.464943945123792	29.701387793366887	29.6911690917892	29.525673542601293	29.491184774193474	29.4752554119547	29.5157445392709	30.105523874119303	29.504890784276185	29.516351577970894
29.542849001630692	29.468527168484883	29.711053977577027	29.69382454137689	29.527624273662195	29.496582789727896	29.477121349356594	29.52717928547951	30.118270972093157	29.53409979596946	29.51816238951432
29.5496366056288	29.48170965403773	29.712098182876574	29.698765351326603	29.532174843319343	29.498054716215503	29.47898045763162	29.529147556588164	30.12330827194511	29.540449025983165	29.530500965540455
29.553485336028444	29.495125857312818	29.719673494562812	29.713480218643657	29.535843129488892	29.50352643928412	29.48068216481398	29.532174843319343	30.12875081600869	29.541548943018572	29.534488210980346
29.554986527556846	29.507588321544358	29.72152990147929	29.739856880898394	29.541603011692203	29.510172753645367	29.488706052698653	29.536569052136407	30.129488845611533	29.547753359442293	29.545495136478415
29.560721907668245	29.50931310679944	29.725312685961057	29.741293091330427	29.54501101602052	29.51034092765828	29.504959185238086	29.542393483749052	30.140472129497596	29.550415437832967	29.555627608248138
29.56133925346606	29.510268546608145	29.726519913979978	29.745209468369943	29.546739435160784	29.511751027555164	29.509014414115022	29.54890906781737	30.147881205391844	29.553220419755466	29.562090586410392
29.56249450649868	29.514737039029555	29.726642010070652	29.746397821452867	29.547855306829945	29.51406554303737	29.510590705063457	29.549293406369834	30.152149097955867	29.56357520212159	29.562465135542876
29.57130847060499	29.514860130726444	29.728503388869434	29.747867070095616	29.559192565605002	29.520984891790516	29.530634682774497	29.558083516420215	30.16513955499648	29.56608910740356	29.56286014488607
29.572579065204902	29.518909936937007	29.732428833043645	29.75024613817595	29.559985362321672	29.52622407314785	29.533386964907994	29.564705982129333	30.166816412838422	29.56953358587823	29.56477078786103
29.573842823595133	29.52100452481945	29.746973490098537	29.751657620100808	29.561408674994823	29.53261222929771	29.535425754422413	29.568693227569227	30.176551900604746	29.60128026144513	29.565809175060053
29.582722940050736	29.521757088645934	29.748633566224495	29.75597696723981	29.567088282383693	29.53428238899293	29.536925192643277	29.57720951177075	30.181036481889382	29.604678816136094	29.567410474841047
29.5861674185254	29.521773288545972	29.753314268454435	29.756581176310032	29.56898266944826	29.537368063960564	29.553881616029958	29.580684599270555	30.181696468693925	29.607148887038623	29.569264064436492
29.58708875075602	29.528369697704317	29.756936431294417	29.757590423285198	29.57212722898027	29.562516329777672	29.556353607289665	29.583654823777046	30.189838237639425	29.608573207431423	29.571608315155768
29.587765221494358	29.528426421464477	29.757042079750697	29.758296667702187	29.574351063405413	29.56419092924241	29.568253925406733	29.593647071472578	30.190721512523254	29.610821311362095	29.57623566877662
29.590437255433663	29.532109366643972	29.761568556170467	29.761606617099993	29.594908745084787	29.57611331017019	29.577519756222586	29.60116274234249	30.19792957031539	29.612630739012157	29.578969042751794
29.592049947082856	29.536683151898043	29.764609389061196	29.7646087169282	29.596600094097585	29.58336418261975	29.57969137145809	29.604414273548002	30.20211155548797	29.618128875497916	29.58143054169512
29.59696024791577	29.54000122006218	29.764617941312103	29.767702371083928	29.59764210123356	29.58463585259328	29.581670128681825	29.608335510510756	30.20570411961653	29.623990755273443	29.583540579637656
29.601161365534402	29.541372196162005	29.766414812492183	29.768019512453076	29.601739875146333	29.59073160657721	29.585661650870364	29.616676435295926	30.206579759821505	29.625919307984613	29.584308138710583
29.60189934742816	29.543087373737194	29.767903040586408	29.770533589843012	29.607659144325673	29.597182582588246	29.585879688449968	29.61677855007332	30.207683176275328	29.628428182394668	29.587015667137464
29.60756028476217	29.545110693264363	29.769584064766534	29.773343545414587	29.61057937735606	29.59797360673562	29.589488482302563	29.619180782582845	30.21108011139897	29.63557017974491	29.587721430233213
29.607824852678387	29.555806079220535	29.77199904888283	29.7787706271825	29.613899704882648	29.60697969343272	29.598040340776347	29.625988606874316	30.214760618228603	29.638772901755264	29.59265296600129
29.60828733742955	29.5612633730294	29.7751256022229	29.781817485921795	29.62458805474651	29.611132628818396	29.60307407806176	29.626077226901796	30.217159540534816	29.642117592694813	29.596730616582263
29.610158181774526	29.56386094719847	29.787719157040424	29.784468902415227	29.627126319625244	29.617189708774706	29.60520360317043	29.630406650524435	30.227290237558517	29.643461879086512	29.603044956966773
29.614290119346723	29.56441657891587	29.788294838787042	29.788528623754036	29.627643440150553	29.617228382802324	29.60749934441354	29.63113177035529	30.230910094270143	29.644340873870636	29.604876683878025
29.61496467342169	29.568900375712566	29.78863554683924	29.788775791551082	29.628298993590747	29.618726603597295	29.610542891046535	29.63278713542224	30.239515360571307	29.648677549075895	29.618292887153117
29.61505944482643	29.57911244591861	29.791331181684328	29.79289518147949	29.631924200203553	29.62094192975215	29.610843435645357	29.634127919730872	30.239632338039442	29.649834917726317	29.62072021560916
29.615669397350544	29.584221919120797	29.796758569018788	29.795057754263695	29.63276763279611	29.620968067151566	29.6156134576094	29.635168835985425	30.241377860663484	29.651371062505024	29.623677271287995
29.621533264590443	29.59128899990416	29.79802985119597	29.795082065175443	29.633033061425568	29.627019288628812	29.621352879338954	29.638374152629304	30.241707611480685	29.65337505913072	29.62714492181425
29.622981315487397	29.592089979637084	29.798944201783563	29.801936437908225	29.634874397882786	29.62829354894597	29.62967384429574	29.638704402476797	30.242091203320662	29.656665749423034	29.62808250018267
29.62753358869237	29.597520700101843	29.799279015113015	29.802692292323965	29.636930743279137	29.63043563593559	29.630933182921154	29.639568708317434	30.243050706778785	29.660865235468624	29.629631219033605
29.62857333335434	29.605781016652635	29.7993515091397	29.803907811722045	29.63715783803008	29.632114903614497	29.63266999367132	29.641811833799657	30.24619118043424	29.665837034021393	29.630561030800404
29.633777084673678	29.606489092316448	29.802556908305473	29.804559863577545	29.637877105998292	29.639067385623985	29.633126245744354	29.651950329637682	30.25134681823839	29.66760947024628	29.631223208704245
29.634563353499495	29.60883116927795	29.807708691546587	29.806025595560058	29.638692934571214	29.640481310141332	29.639478803020907	29.659791722939403	30.253570474157556	29.670204393809087	29.63192042706303
29.640096301244533	29.610115845414185	29.80824955177138	29.806029095407222	29.64091586702914	29.641309930035906	29.640172660053043	29.66222816440073	30.25384476594071	29.67285541489466	29.63972023400536
29.641454085457596	29.614732429757716	29.808411746705463	29.815153884422806	29.641200090123565	29.641387317012885	29.64254612877996	29.66273405811489	30.2571151195623	29.673324415423828	29.639956944657914
29.643114465564345	29.619913878557583	29.809062500134118	29.823903544218332	29.643654851208517	29.641877485515387	29.642674459057574	29.66364829733831	30.257814808538914	29.67546038042085	29.643605819986963
29.644315542690478	29.622077096438844	29.809759233945478	29.82419603055437	29.64401506854494	29.643700488488385	29.64604537734718	29.665617357825983	30.26346521688412	29.676124506515023	29.644247710189088
29.644450234833176	29.622326702846046	29.81889150413447	29.82701924935742	29.645077317737528	29.644465401158406	29.654713544141472	29.67159454700491	30.264198619930816	29.676236081465348	29.644773908328933
29.645297456328237	29.6227865304387	29.833367129185135	29.828017410649387	29.647030689236928	29.6446390457212	29.657242406590115	29.672449965043338	30.267421851275927	29.676291769847115	29.64573292220905
29.64643558871186	29.624391718273035	29.834842319910017	29.828054872022367	29.649974097085785	29.649961041982507	29.658428837280763	29.673254364553873	30.27502406575472	29.679202946201315	29.64679289049069
29.648305347957695	29.625179415423315	29.83659560681127	29.83022624031851	29.65027786247895	29.650347579075433	29.660675016020217	29.674797586937093	30.289464905997733	29.68255968528411	29.64709200651918
29.65263835405737	29.62616523846191	29.837227669797233	29.83111142794399	29.654161794190028	29.653452976712888	29.661631148835834	29.676815609381727	30.29056258732967	29.684381746505956	29.647373447880874
29.656099561811637	29.626325484948953	29.839369536732104	29.831589481545976	29.657570302218083	29.65801328741105	29.670139089790542	29.67771167878994	30.290727101209797	29.687228296088982	29.6503693435326
29.65901462571017	29.627244713048704	29.84011019721692	29.83226622256784	29.65772774056304	29.66671492872451	29.670389720304613	29.67804414451714	30.297318625001342	29.69014428542399	29.652227342679712
29.659109945379754	29.633778411047082	29.841354238988337	29.83364157462355	29.660925034456284	29.670842856293888	29.67065505827923	29.680642120702938	30.303193241045154	29.690736789525886	29.65240764398122
29.659314165488983	29.637191702569716	29.844324515277414	29.838042720547726	29.664282026837572	29.6714950338294	29.672013154926532	29.685221680408816	30.30467309760648	29.6924235008411	29.652731065596072
29.660359778669637	29.641590339428607	29.8481365405572	29.839224657914393	29.670087490617888	29.67449773766804	29.675869073345208	29.688043514097977	30.309245439645927	29.693524926118847	29.653643548898785
29.661634057609643	29.644035159211644	29.85249126841652	29.8429248436417	29.670210437364613	29.675356790064125	29.675944720213085	29.68921283424596	30.314691337081058	29.69455633796993	29.654864891189934
29.665918099076162	29.6448121518953	29.85412373832741	29.846492681834984	29.671125699755162	29.675476494898252	29.689360923488177	29.691755658276183	30.317930363915764	29.694990222377086	29.660065435931365
29.666589968934993	29.64657003523926	29.85588796541946	29.849321021806187	29.67325495184948	29.67565418943163	29.6904575177483	29.691937513421294	30.320043794665462	29.698421116873327	29.662734058114893
29.66834758616809	29.649479991015653	29.862841701828355	29.853222680733953	29.67412408744375	29.68066334729012	29.69093375432459	29.69235527161367	30.32310026984492	29.6997512002991	29.663472467901236
29.670436222690387	29.649983326761898	29.866043991603462	29.858815087216954	29.674667495818674	29.68587327423575	29.69242624010398	29.692994296847125	30.324949532507635	29.70145408029558	29.664128570992496
29.67202904788359	29.65153606812699	29.867829161054047	29.862080972048513	29.675310277836704	29.686859380058173	29.695806973059753	29.694514815392985	30.328075353018612	29.701681229517842	29.664251680581835
29.67285541489466	29.65168712754025	29.867977116021994	29.864055673254562	29.676891448608508	29.687954860693697	29.698975558698685	29.69777467449612	30.329019584525362	29.70323452962551	29.66658809473305
29.67421836534908	29.653653323426074	29.871628927448665	29.869682388564886	29.682278778976972	29.688250434467648	29.700976933305867	29.698467607569704	30.329398566950974	29.703346997180716	29.666773672765913
29.67493180136506	29.653659669434443	29.875344299181606	29.872987742477193	29.683175559838613	29.690332446639022	29.7014268123734	29.7044281072653	30.3308237895775	29.70461033812749	29.67260711095299
29.67753273259931	29.654557945365042	29.875697389380623	29.873273853959198	29.684393760907138	29.690455258807987	29.70199337908748	29.705088130518927	30.332951916806426	29.704793760650915	29.673225303623116
29.67818610810964	29.65485755117043	29.87672714412522	29.875124702745776	29.686104161562607	29.69401856421369	29.702282629364962	29.70518735773331	30.333081018224448	29.70551012916329	29.674197207132167
29.679202946201315	29.657107998775288	29.8767625867208	29.875574937740147	29.68911157866636	29.696880059849743	29.70369555942148	29.709195116767354	30.333175624451336	29.705973998296994	29.674745507855086
29.680743196230807	29.658158131784248	29.879815407248824	29.87607970513386	29.6899553474725	29.698748061547178	29.703705271556466	29.711637339073146	30.336243750662632	29.709589291699	29.67525811326827
29.68121192807321	29.658254388882696	29.88097878657011	29.87851177949577	29.692332919840283	29.699772203925463	29.70584244337907	29.714474780864677	30.337797903968738	29.709699027265255	29.67563002140637
29.683063871208624	29.658812956509053	29.887760715157235	29.879137916768084	29.692554792083236	29.70131465619775	29.705958588225663	29.718201045392604	30.33935647145281	29.71025714848792	29.675742121428495
29.687464292509976	29.65908805255092	29.891276425342717	29.88318158581995	29.693825823277376	29.702178345482086	29.70701468450708	29.718576933306682	30.339750619260908	29.712699010500607	29.680019599926805
29.688079313140843	29.660222806117662	29.894383221167715	29.88349019182896	29.700037506674697	29.70361312925144	29.707159107712855	29.722771584560814	30.342449856002396	29.714739859537566	29.68064212070294
29.68906448064176	29.66273405811489	29.896823854323223	29.884746055005046	29.702446162389617	29.70786137245492	29.70791851087421	29.726204684327804	30.343126007952783	29.717194369214383	29.680975286867145
29.69183450273766	29.663733104486383	29.89865838809237	29.889360513605848	29.704305098069234	29.715089653711942	29.711516079465216	29.727236581780993	30.34487908024314	29.71720811458293	29.681703244761152
29.691911678220876	29.667786348269857	29.900920590375524	29.891914399173817	29.704918865721844	29.71578690793841	29.71241128627251	29.727561673672668	30.345424021986407	29.718247527264225	29.681907993652928
29.692339635632067	29.668051499727166	29.902364170936917	29.8919911865319	29.705728876542008	29.71605741799477	29.714765326166535	29.7313939042315	30.352362218282558	29.724567587377802	29.68327391434792
29.69260277205491	29.671404058945143	29.902640629036163	29.892141505040556	29.70743953336776	29.71823936850753	29.71675990912037	29.73205175804901	30.359367059058542	29.730133372084012	29.6865640632594
29.69300580047946	29.671578743259126	29.903452231546233	29.89264551500962	29.708369859036466	29.71884868111409	29.718393127241974	29.732531268699002	30.35946618151842	29.730235481094862	29.687263975691206
29.695179193677205	29.676551905709328	29.90520449787935	29.89619730545939	29.710247725456156	29.72128586905648	29.718613730362836	29.733321097706664	30.36247211430155	29.731197326363887	29.687755279520907
29.695718570198487	29.6768861477785	29.90593826922981	29.896729043176315	29.71174380976811	29.72248106614288	29.718872258212993	29.73345254683533	30.36309216974182	29.7330444731617	29.688322610896364
29.695964646021885	29.68081825518043	29.90635510031715	29.896953842002453	29.711905973113907	29.725791630571816	29.71916810040721	29.733999441002524	30.36362579505265	29.73353349506134	29.688988048589387
29.699783331165712	29.682071278636133	29.906431073816815	29.89721567703707	29.712239699360964	29.726184070495105	29.720106387312292	29.737070143470618	30.365862021525636	29.735778886715348	29.691624014119974
29.701481083883966	29.683117668928805	29.907585867076484	29.900251472082928	29.713627259070446	29.727726687208726	29.723921780626817	29.744222490044912	30.369176471327663	29.738790601456234	29.692560500973286
29.702979197544856	29.68586591395384	29.90798970417979	29.902327769470954	29.718231282502746	29.7282390173464	29.724769799701363	29.744899190097314	30.376727026333562	29.7394847962695	29.693589930904448
29.70461107253632	29.686164922318707	29.90944547239175	29.9029060246219	29.721256054539072	29.728242971446168	29.72582898951682	29.745654135503788	30.379090141748673	29.74040892293743	29.694115631493155
29.706949688832868	29.688372103761502	29.909835591500148	29.904709230599675	29.72493588557758	29.729769606841522	29.725888879449847	29.747075946046824	30.38219336411495	29.74089323095804	29.6944172384704
29.708132253737382	29.689247252345535	29.909836721978884	29.905397300196476	29.725003159184247	29.730159751310907	29.726654854922554	29.751140707014052	30.384319800858023	29.74098569677922	29.69990593075763
29.70827486261436	29.691464645302364	29.91089749554649	29.90660743429629	29.72580209220472	29.730647780000627	29.728264651058193	29.751155766690847	30.386993883231266	29.742327368623542	29.70196545102454
29.708697027640696	29.691857513732234	29.911095480994263	29.9072599553904	29.72619760411915	29.730817065119037	29.72989858434077	29.754035251025847	30.388113403419908	29.74282933125125	29.702912127628398
29.708982939872403	29.693473100229802	29.912998399207947	29.90804056233358	29.726346292777954	29.737813025914562	29.729925369178755	29.75757302410547	30.393953685574257	29.744759987194822	29.703982339111583
29.70938716903535	29.69349438687324	29.913512619226715	29.910060845993236	29.728435731014788	29.738629801814742	29.730067826780573	29.758081414923126	30.398955131730283	29.747535729563598	29.704276979953875
29.709522709053534	29.694178418366626	29.913710415765134	29.910109889593713	29.731225502417043	29.739291470740753	29.732006067963844	29.758660373933015	30.399647812816948	29.749326069301304	29.704733341655345
29.711573524026207	29.694459968297377	29.91726917073718	29.91035814550174	29.731476726095977	29.73996024473193	29.73235636196548	29.75982642694538	30.404691604391214	29.75413805680046	29.70563644096003
29.715640529022554	29.69474731020003	29.918496379146877	29.911993319841375	29.734097764153123	29.740050603666603	29.733538766090426	29.761873744658075	30.405029982902008	29.75652007148319	29.708574567991597
29.718640271334387	29.698158780921727	29.91905350994371	29.913832511408778	29.734167228795513	29.741886357962144	29.73357932236526	29.763562266147307	30.405272799316226	29.757714726495585	29.708716433832713
29.71889897204077	29.69937684969964	29.919959694588425	29.914645881552314	29.7395626123609	29.741892396582912	29.73372774836073	29.765564523593433	30.40859933299841	29.760825253538503	29.70898113189958
29.7193702448873	29.69947870401037	29.92215978748413	29.91553575649264	29.741578713255176	29.74322026955769	29.735137534414296	29.770050696613037	30.409593379288594	29.761300104207574	29.7090734949635
29.721828123458035	29.699902587732023	29.922192462193852	29.916810017829096	29.744722653256865	29.743961485606278	29.735711351822133	29.770835476637043	30.41445981420425	29.762756507978064	29.71092808847034
29.722701815508064	29.702099835125058	29.926403064520912	29.918017650450683	29.744858545566583	29.747657451436424	29.73610946701954	29.771949840978372	30.414558314683433	29.76369830829534	29.711121136329826
29.725790323832392	29.702393926285993	29.926899075599763	29.919134405460795	29.746177379308858	29.74817512259766	29.736122835175763	29.773224104218457	30.41715050797243	29.76442300206823	29.712958578277373
29.726964697284725	29.705017144511686	29.92765510754283	29.91930585697785	29.749113460095714	29.749115888680656	29.736263148383742	29.77442558714101	30.417152070070056	29.76567939182558	29.71445173556489
29.727001809642996	29.711032638846987	29.92894473067632	29.91973406564083	29.75036546860064	29.750237938908644	29.73654895158792	29.778926856586025	30.420288817201868	29.76644146652861	29.714847775160194
