annealing_308	greedyhill_253	steepesthill_465	genetic_132
29.36864537758818	29.368737957601834	29.474567087483567	29.28853486593068
29.370004773850802	29.400022776253152	29.528304243500116	29.326697836165494
29.376100527834737	29.420542382561024	29.607553806112342	29.34390642450792
29.469825243971044	29.42663813654496	29.65881718552626	29.372662434085893
29.47847707615446	29.426989632567242	29.672238129266017	29.38368715118011
29.49355499028195	29.43685881188767	29.679024317137937	29.3837880668835
29.51481222849425	29.438312114733307	29.68964669144392	29.38514746314613
29.518225520016884	29.44221207782471	29.717358994418717	29.388346965084448
29.518827014326234	29.44612854065822	29.719838431156504	29.38935465278182
29.538364899195148	29.461558674945227	29.730727472781567	29.389883820867436
29.54055638983884	29.468685501675164	29.75148769187825	29.39124321713006
29.5427314569206	29.469005528775398	29.777647639654393	29.39659777613139
29.559192565605006	29.480120247883775	29.782377717679474	29.400670410215483
29.559342261097648	29.48014376926919	29.785013817002866	29.402529168917116
29.56528831958894	29.481975005546303	29.78647159180617	29.406654263566878
29.566133158756468	29.486562610043705	29.796474141581292	29.41261630036888
29.57618245785721	29.497033723654344	29.809878950145144	29.413601890193373
29.579707775685957	29.498102217980193	29.810875872960132	29.415020769785574
29.580619689702544	29.498980470854704	29.828370634856476	29.41635494121404
29.592044718680274	29.500924927330573	29.831500341611154	29.41821369991567
29.596240361816843	29.50153414146852	29.833848219649038	29.420624102518016
29.603939894563606	29.501912367279708	29.833896931186874	29.426593488256607
29.60486564920281	29.50340455416515	29.834105091512566	29.426769762627178
29.60588664176397	29.50489113384981	29.84167360061192	29.42713879106579
29.607509728125624	29.52765751817681	29.854641169790593	29.427922397877165
29.608942027168013	29.52841490280127	29.86368694597411	29.428046791102243
29.61547855718788	29.531480458313826	29.865540372757653	29.430318396514185
29.62022606231261	29.532766991379003	29.87340292389904	29.431080461325884
29.62369796816228	29.534426940902122	29.880759622508787	29.43226137181398
29.624871586441717	29.535792497757154	29.881542553164145	29.434523342707653
29.627621888000192	29.537467243205715	29.883442279128783	29.436374213162477
29.628070131154573	29.56016380035196	29.891913792739196	29.436520998398098
29.638487026719456	29.56446617291076	29.893226749495824	29.43889697736754
29.642658577100587	29.592748339811028	29.89428559048752	29.439414532260447
29.643766095482988	29.603044956966766	29.89645578111798	29.441847622125636
29.645816422465305	29.606395214493922	29.89694795969431	29.441894853334084
29.645870020436732	29.60720563838811	29.89755057155821	29.442021572707922
29.646025701153725	29.618950519419368	29.898163475081137	29.446365683838387
29.646026641947135	29.619667855586982	29.899882734648408	29.44656356512754
29.651281842030787	29.62034456775183	29.902851644122002	29.447196744215333
29.65138024038172	29.623637374303904	29.906683633187217	29.447990079680483
29.65190322999455	29.625919208026907	29.910143428347435	29.449406124349792
29.652227342679712	29.630437614001085	29.912533831239266	29.45002027485353
29.652295793706447	29.630945583906602	29.913213800820987	29.451379671116158
29.653630896707064	29.631024997037006	29.917202668427198	29.451965049308363
29.6581967284183	29.635961945207374	29.919115643355028	29.45318059756673
29.659441904428817	29.636374150210806	29.920005407864036	29.457332942439205
29.66559255410589	29.644147478918978	29.926685640574103	29.458759456992148
29.666876823867952	29.644896281368148	29.929571189269826	29.459925076172603
29.67039706468671	29.652657900886183	29.929957324237606	29.461248465480523
29.671046424419277	29.657286223441208	29.930712259060492	29.46386893019433
29.674207188490193	29.658373440510545	29.93515426421131	29.46411409677592
29.681558557292533	29.65939661546713	29.945616517476726	29.466817118705944
29.682384401922	29.6596231683673	29.94625826159264	29.46817651496857
29.682573648017094	29.66596709421822	29.947556138495305	29.468549626827382
29.683417312076678	29.667874154332317	29.948263627246625	29.469197893179796
29.684562467576345	29.668030447691315	29.9527057485418	29.469414362939713
29.685986939539728	29.66845950707626	29.955988099669693	29.469814229735395
29.689343755400074	29.668478001541118	29.95714434008861	29.47095194989838
29.694265634234586	29.668992528712202	29.958069803301882	29.47198962056473
29.695636948650957	29.670061450290444	29.960257785245396	29.472026217257497
29.697859936548063	29.67032776992731	29.961664399312504	29.472912872689875
29.699050240173587	29.672897287718424	29.963546875104317	29.47306276885492
29.705617316098298	29.67364098054822	29.9698808265612	29.473750171568817
29.70911961108436	29.67491345235324	29.97047098635459	29.4742722689525
29.710783381688447	29.676550521853187	29.97411710611356	29.4746757651688
29.714100969406516	29.677819195199888	29.975262221990075	29.47551014902045
29.72009504784466	29.678593081837757	29.979752696830634	29.478390972650853
29.7245252257299	29.67878972615368	29.983111035885457	29.481965046833853
29.726754483975675	29.679532888517343	29.983980559206454	29.482744729440803
29.728792784424297	29.681479635717704	29.984018859095084	29.48398886667685
29.7298875327703	29.681656113105973	29.990873074917722	29.485674663239525
29.73115102720857	29.68324796962542	29.992170409451074	29.48766867595093
29.7326615319274	29.68391186871582	29.992244207740463	29.487929474362787
29.735900207148052	29.68452840578978	29.996276261557227	29.489182627910463
29.737445136543847	29.685502754271077	29.99633891351222	29.489294615217275
29.74094181905601	29.689170119199783	29.999454623046656	29.48942385810576
29.744890805208087	29.689749684451073	30.002324437369495	29.49054202417309
29.74631364003401	29.693313618319493	30.003979171531405	29.491370067337353
29.750148205242073	29.694859317290597	30.004369889179188	29.492662388900218
29.754659131132687	29.695220910884217	30.005874696351245	29.493799204493328
29.758686791150502	29.695700810963714	30.006580306032046	29.494278999072275
29.75908627628459	29.69702757324357	30.01166369105885	29.495158747444734
29.759242235075128	29.697113723667307	30.013144895458904	29.49672669877733
29.759271890419	29.697759681564044	30.014765138883195	29.499948097494595
29.760754885116615	29.69857132514537	30.01570381826638	29.500519531725715
29.76139899264108	29.699180539283326	30.01731421146132	29.5005303393457
29.761426233208397	29.699225943477927	30.018144352718743	29.508064568164713
29.762499567807218	29.6995295173652	30.018272897769247	29.508278146708214
29.762655526597758	29.700685422737024	30.021139493361428	29.50962254007905
29.764289536652573	29.700688841101236	30.021902809879663	29.510161132324473
29.76499133080419	29.702863836060676	30.024171504739837	29.51165895563717
29.765945905027067	29.70349979171625	30.025235054663924	29.51621487034425
29.766723119582387	29.703638282524132	30.02537577407387	29.51727207149454
29.77055511970339	29.70438345122136	30.025962467166938	29.51925176349288
29.770671801900928	29.705114492386013	30.026544901985176	29.51940326498492
29.771209466502192	29.706440036562547	30.029451791549995	29.521461092097855
29.772816165904324	29.70681434853696	30.030744223545163	29.526040947715842
29.77355232875309	29.707735160848088	30.033796061265384	29.527782327007372
29.77545413198228	29.708949870143996	30.039061158123758	29.52913984104611
29.77623342091028	29.711385901820172	30.042471123676563	29.530940390456095
29.77789086479228	29.712756839132844	30.047201099916304	29.531454163126902
29.77815166320414	29.712945720640292	30.049492846698865	29.531616509615567
29.778167312711886	29.71479919334281	30.049663284178596	29.532310450518892
29.77953725098493	29.716861465884996	30.050374519296266	29.532705883450962
29.779740422285116	29.716961242000092	30.053233450259896	29.53304932667597
29.78137135390908	29.717371534572493	30.056557494300336	29.53340318833116
29.781527055358392	29.720694296042435	30.059210211961414	29.534121928120264
29.78242928548534	29.721765103120298	30.059474661809148	29.534134545135014
29.782752084751216	29.72211370701285	30.06006917376991	29.53465639845732
29.783917729061816	29.72436465316497	30.064244690319633	29.53491938471699
29.785058407572592	29.72542840128025	30.064981119612856	29.535432070201125
29.785252925981034	29.727091133523306	30.065586343515495	29.537825931075304
29.78871944431832	29.72767199975327	30.0656392840407	29.537908643328706
29.793324020856343	29.72771148311918	30.066344377593055	29.53890019843442
29.79352488459526	29.727952862094277	30.073207306997993	29.538911683741336
29.79452390279167	29.728816416801912	30.073996231541543	29.540520945825552
29.795809025550614	29.729073830995446	30.074483444735446	29.540701685999352
29.795912041720378	29.729445739133546	30.077927006439182	29.54090797313883
29.796397879807806	29.72993082140946	30.07872906308275	29.541377509503533
29.7991273416333	29.731293384723326	30.079731253495037	29.544118017602738
29.801291484771806	29.733186887507237	30.080062905105574	29.545964269250995
29.801299440431045	29.733720132751134	30.081145968079444	29.547914138718873
29.803947857202925	29.73379101454263	30.081369754587787	29.551099995689928
