2p_2c_Truepf	4p_4c_Truepf	4p_4c_Falsepf	1p_1c_Falsepf	4p_1c_Truepf	1p_4c_Truepf	1p_1c_Truepf	2p_1c_Truepf	1p_2c_Truepf
29.44150685287982	29.482377882945002	29.43213519534152	29.526789412528	29.609420476503633	29.526640691102354	29.51717119716078	29.446324080434138	29.596865850611223
29.49020188653422	29.510445550241357	29.47726380166017	29.632852931937236	29.68254079023379	29.58116384717546	29.628346221377175	29.515683492834633	29.613788814087265
29.508314374307197	29.53360421355328	29.481727042783152	29.685493750606277	29.708116630569865	29.648626385110795	29.66005717284841	29.555447743253033	29.638968885876764
29.540095390086844	29.53727924302988	29.52730614670469	29.69635405328387	29.731804527442957	29.652485637609633	29.67042163108504	29.71040712717435	29.65277996190386
29.572709333364735	29.560052451631407	29.568012681192986	29.722816080386664	29.801239495159564	29.701231906694694	29.70972451042724	29.71214418447736	29.690171345617443
29.638287994312034	29.561671880849634	29.602969505328158	29.735314299379535	29.80655268898326	29.723611693895716	29.721608045864116	29.73391330408244	29.695857164099728
29.649678289248204	29.707924409613906	29.6454094823781	29.77600284138498	29.806636092921813	29.74400568446559	29.723049997027886	29.742368087133972	29.71010907320808
29.659050156130895	29.731374177399292	29.69764098288637	29.786518432295843	29.809487667866904	29.757190090571065	29.724140141617255	29.749336344720838	29.74295588874199
29.688625329516146	29.786868889728243	29.699109537071234	29.812143467808262	29.833501923228944	29.761261516864955	29.742187777901567	29.74944419464368	29.753906747369314
29.69805115891183	29.800718964172603	29.740803531362296	29.82169824883402	29.834941465559172	29.764196618286164	29.75744566130736	29.772285664079476	29.775747237939576
29.70941096950297	29.814933480833467	29.749577747845052	29.85459773682852	29.870945689160422	29.824740705190813	29.765485916593725	29.78533135386983	29.77836557811292
29.731216193232942	29.816768003149523	29.791832014298663	29.859141147082006	29.87294739529896	29.826489999363027	29.780289524237855	29.799629573297327	29.79994070228328
29.75166135731144	29.837698070846006	29.795619203165046	29.863511011140748	29.87536516930587	29.831761732742205	29.799512628745422	29.814328310558786	29.80586381927319
29.77879393196667	29.85185662703144	29.79744624260342	29.869992553354123	29.879089470979064	29.83288388681195	29.806960779481706	29.849694468867906	29.814496596523348
29.779919469437196	29.853207832893048	29.797579010352976	29.87939997943911	29.89459499640406	29.83820541287043	29.809036869017678	29.850584626852385	29.817622666857837
29.784115097651952	29.862485229998523	29.82389711411743	29.87967111047051	29.89729790958966	29.843165820654868	29.812240336421198	29.861256365740246	29.828933156307713
29.787267093854453	29.872444446963325	29.83205769799392	29.88025798156429	29.900172903038012	29.873667837702392	29.81394074082079	29.864255699247195	29.8474681070307
29.805926277663026	29.87418551599591	29.832789110527145	29.880802031820554	29.912299423108077	29.875940005556725	29.829147407174528	29.87237274450774	29.857034256337585
29.817539301280597	29.878854805028766	29.83782757365892	29.894968217779773	29.917310042026603	29.878360065553117	29.835748745440306	29.877816845983734	29.858571996453605
29.82110799833623	29.885601410727478	29.851720615128848	29.90186121791761	29.918102735649146	29.88165420985564	29.84339818358683	29.880653376213708	29.864922087232
29.842408034546533	29.932247775383303	29.869116593811682	29.903334701584185	29.927239994532883	29.888109884472172	29.844210848433146	29.881937084860713	29.866006941925814
29.8499858370219	29.938046994723713	29.897928053374493	29.903791134165594	29.928339015512233	29.88896236366667	29.850021778064605	29.883931133279756	29.87109756149254
29.854633422864115	29.93810684019121	29.900715346897147	29.904962885088523	29.94772257503394	29.89886121981354	29.85746411812237	29.8912124746564	29.875880963998853
29.85898682504264	29.941582770897675	29.901715910167063	29.90552442589131	29.94889462791777	29.908085219291372	29.8636742967526	29.91034388622785	29.880241227421628
29.873518145088138	29.94923224147914	29.91301067069016	29.91181833064101	29.959183853799388	29.922100605247543	29.865430373698555	29.912183738266755	29.889929568531933
29.883571012920726	29.958086403989874	29.93293214107002	29.912071482477295	29.962093247615343	29.925304556274888	29.870882103677005	29.9347260647396	29.8918936223715
29.888123448189624	29.96012839629703	29.939212390412322	29.92511133625564	29.972862702872128	29.946578331797443	29.875161101967926	29.935746456799784	29.907465874369684
29.896198143945355	29.96697781997254	29.94718886431384	29.925360026873005	29.97817422699625	29.948825372305944	29.875426708976107	29.935881858874907	29.912900688920836
29.897196511426902	29.99313204427853	29.94900032091743	29.9280451011283	29.98183555693868	29.95176129941482	29.878678810205862	29.951132603573292	29.914081297609947
29.899758171297	29.997561432413207	29.960079924134366	29.94403542041463	29.985683566213332	29.952727688665046	29.881992810316078	29.956246832778803	29.915725593605863
29.90160353809538	30.008325647798554	29.96173151374162	29.94450542173157	29.987221613278315	29.96090054598416	29.90553128255812	29.963715581354943	29.91846958388536
29.90565019826262	30.014473367310188	29.967977362523975	29.94473067514693	29.98935545392515	29.96263193181747	29.911929153228755	29.966430183614314	29.9238621520887
29.909396598418894	30.02933354222577	29.977138657577427	29.945727955945916	29.99541526556026	29.963362861697238	29.91282213761867	29.966817625388067	29.930688020047874
29.923624957993642	30.036440417210876	29.977873472665486	29.95006371428501	30.005095191574284	29.96359318363679	29.913983105817113	29.9689415610801	29.93107489181837
29.92509662156451	30.042995044200943	29.981840099824424	29.950210096733663	30.013584723725064	29.96586375790864	29.91583619922635	29.976671691223906	29.932949542149828
29.93209395819084	30.04301465091175	29.98912536948915	29.953535703355264	30.0297370815752	29.966904699668746	29.917054347313446	29.98067598159974	29.934750231020764
29.93307726154467	30.043816162435803	29.99561959357095	29.95863828675518	30.031842772166243	29.969249330502755	29.920775384219112	29.981524293226006	29.935093562146115
29.93546227365205	30.059259408219706	29.99872940211761	29.96204035935206	30.033069273354915	29.99304320265046	29.928245177037823	29.984220831909578	29.94255331551389
29.941177716244308	30.062545542736842	30.000109584032188	29.967326294986425	30.044306158336447	29.996047539656157	29.932067770142535	29.985671128374847	29.947556160211477
29.95069666555662	30.066646431861805	30.01211147726404	29.96985480994399	30.04650100015047	29.996829934606364	29.9327692648698	29.98623502283072	29.949399680141095
29.962758997222366	30.067238794746267	30.021378893826896	29.971626023109554	30.0476358338666	29.997416728083902	29.934564499598352	29.997034537632	29.95385089272723
29.96656348524139	30.06897292305887	30.021460645162147	29.97366170107995	30.05831358620401	29.99799821904353	29.934604443374795	29.99732907780012	29.959485902799543
29.969050463590566	30.069296283454168	30.02395373908858	29.97698400299364	30.058551333915258	30.002785186408385	29.936644457716287	29.99887024556527	29.96142980218091
29.9747069589184	30.073817100321747	30.024329527807556	29.97711006830865	30.063883129119766	30.019292000373007	29.938492618368446	30.010159006501485	29.96830855471023
29.974978738004243	30.078861694948472	30.0336540097364	29.978768096330384	30.074967861858067	30.020131963859455	29.939133789578083	30.01337520667478	29.968931637434963
29.97548019535809	30.086211215120205	30.038280486199675	29.979786763385874	30.075107253649126	30.02018121095293	29.949608609773286	30.024480444773083	29.96943104993262
29.977204508476223	30.0929118982573	30.04025450391695	29.982010251880354	30.08155468552978	30.021098195207006	29.971046229675355	30.032108554287348	29.98336572654669
29.98019974153108	30.101514920973713	30.041373309470295	29.983770394830625	30.08230031348645	30.02248335255263	29.971153829468932	30.0338044077275	29.98399256649557
29.98417933799325	30.108842078614302	30.043236623496345	29.98563596783586	30.082875388757824	30.030343672061093	29.973516034031277	30.0367038180632	29.9855890700773
29.98590423879886	30.125806619508133	30.04579462666982	29.989536674053834	30.085288730414778	30.030927127620675	29.974348455100937	30.039927693366295	29.9867191337346
29.987790967313583	30.126786830903907	30.047723525880915	29.99506950669009	30.091501969966156	30.03364572749014	29.982261205180134	30.040134577302783	29.987404729704046
29.99521315587422	30.12881520075017	30.05298203526316	29.9961596316245	30.09717079058605	30.04395733121284	29.982919581682985	30.046220050893076	29.988380322486506
29.999837301930544	30.13671116682501	30.060222045299277	29.999075726703442	30.101451534107014	30.045526439630926	29.988953039051715	30.048540893145702	29.99083715013682
30.001449696156588	30.143814051453642	30.062785214339996	29.999424856129256	30.113495367324155	30.048121907352602	29.989279104148476	30.04861893714435	30.002644349919507
30.005734550580016	30.15113685096517	30.065810572239624	30.008304528520085	30.11437266402673	30.04941623800313	29.989466295886118	30.05906950084229	30.00362748383721
30.008617638807095	30.16030499723044	30.069207511378632	30.008814549747857	30.114632420189956	30.055305995581314	29.9935886535385	30.05966410288777	30.014523674003144
30.01435458203194	30.162679450248476	30.07002495078156	30.016990216170694	30.116320890947797	30.05602545081621	29.99614261232685	30.063803231063027	30.01562357055856
30.016801501971877	30.16387262151074	30.072314177686046	30.020617907042983	30.119149170947342	30.05607824448635	29.9981337374048	30.065443143788258	30.018749018304117
30.022710319742714	30.16823066465124	30.085623605454924	30.02482664304502	30.12897801985612	30.056123024382618	30.003998948911015	30.070567628470297	30.02034056724168
30.026168613275104	30.179541767984812	30.088750390983282	30.02877302464498	30.130546807863634	30.05936957658632	30.008507737514883	30.078571534981098	30.020680312699334
30.026638245214677	30.180015137892603	30.095656382224	30.029693947979208	30.132883924372443	30.06474133089503	30.012664835061262	30.078839040595525	30.021150938951493
30.02802292874372	30.183252438728807	30.095962323498206	30.032888098669666	30.133017371811793	30.06716579176026	30.022873760881517	30.083368432625544	30.02615517544891
30.03575218379305	30.18825105730226	30.104507436125374	30.03335839184682	30.138060193342774	30.068935649711552	30.033707584615087	30.08479729075219	30.02674938621035
30.036891157295397	30.188312442909744	30.109378040104698	30.03899083996779	30.140527382253374	30.0726027310443	30.036141556385914	30.08682917868632	30.027528408414263
30.03785242873218	30.19043735159366	30.120455490688983	30.03931708864334	30.152339549716388	30.073649447329267	30.037491392407393	30.087448078403487	30.028016413789953
30.039487745662584	30.194979769875683	30.121528323383096	30.039931347467174	30.15283803320085	30.073905891115878	30.038180119944784	30.090059671841765	30.028024552065173
30.039858445815412	30.199854542649174	30.13472180383263	30.04061916665095	30.153688544206915	30.076824221017187	30.038971449958375	30.092384041438393	30.035125762266514
30.04051914154786	30.2013566625404	30.136128834498653	30.040802558641136	30.156510770291398	30.080741793206304	30.04389705053084	30.09272424721975	30.03738028124257
30.049758693345275	30.20830016987488	30.13900258446965	30.040972167558223	30.16144970766151	30.08240348146952	30.04547906627381	30.106905981632785	30.039103317688593
30.05327241125996	30.209186249744956	30.14401015047474	30.043374848431085	30.16409727616082	30.082828144693327	30.045645263605056	30.10843818394657	30.040877452023018
30.06021340967043	30.210366943368925	30.15091001345373	30.045051483469074	30.164975663243993	30.08506424014243	30.045904941832585	30.11094030996038	30.04336059559821
30.06147421263421	30.211852650838615	30.152671715178574	30.04657838291813	30.166411011017637	30.088549948074892	30.05267041104452	30.112587750582563	30.043364921396694
30.07132359067252	30.215218758379606	30.160012650370145	30.048580907448724	30.174780667936712	30.090587299564124	30.0531867663464	30.11262164870806	30.049291421986474
30.07381757090465	30.219700130710553	30.16110507465465	30.05067510382119	30.177067971087258	30.094458213724987	30.053419273565527	30.113016226803413	30.04998021051732
30.07725857444683	30.221076180666035	30.16253245131979	30.052412148245985	30.1784388782315	30.098410202529426	30.054752451030744	30.114210931629554	30.05040505309881
30.087959206329405	30.225973637853556	30.165528940665855	30.053693254474744	30.180533760773223	30.1022130665162	30.059583087649063	30.114254072747222	30.05529300648625
30.08845421112523	30.227475563286898	30.165664007197805	30.053764263825254	30.18221520806737	30.10357729351703	30.06492559635833	30.11592455106327	30.05813228084275
30.088977608974567	30.22802812725769	30.16829221515484	30.05633893696101	30.186809305087547	30.104384080206483	30.067225138445995	30.1167584967609	30.060677535069217
30.09569970179921	30.23037647254462	30.16938954396298	30.06142443182877	30.19807555663897	30.107532236802186	30.067292807343822	30.116877308196244	30.060907949916142
30.09714378484592	30.234422621496435	30.170334262404197	30.06655764423765	30.201575529138672	30.109481207725434	30.07027794652285	30.12487334714184	30.061058298654622
30.099578458465786	30.238479852006996	30.17821170202585	30.068812762149236	30.2022948656548	30.11494755165824	30.075366077669784	30.12705987976534	30.06212718980637
30.100205863733386	30.238856122489782	30.185895280574467	30.070696657267995	30.203942768282754	30.116859027790774	30.07633586026439	30.13118757029171	30.063242129107802
30.10199250075589	30.242320999723233	30.18797028463325	30.07141734072153	30.208069798607738	30.117134330856537	30.077823963248193	30.132371344272023	30.07416574741843
30.10521845737289	30.24729971646261	30.1904630703161	30.072725655733052	30.211468265466912	30.11881772036903	30.085755827573877	30.13297939113011	30.075750526185505
30.11219944149822	30.249368591292424	30.19149537443564	30.07517064851117	30.220545463946937	30.119925320119563	30.085836568217577	30.133936773241036	30.075863303675924
30.112982417978536	30.250695269338962	30.19259800902556	30.075384774462812	30.221321126405815	30.125294423178346	30.086287006772793	30.134502505009266	30.076613951372423
30.119964817629832	30.252160624643626	30.19350756783023	30.07614238958137	30.22311937636919	30.126078487964715	30.094417202510392	30.144458496156034	30.078219144839142
30.12274523752754	30.253502496305515	30.19554888258334	30.07697109048815	30.22540117661106	30.12751996098239	30.09480212207233	30.14508557415606	30.08245115609571
