0.3_0.01_x10_cl10_cs4	0.675_0.01_x10_cl10_cs2	0.9_0.01_x10_cl10_cs4	0.6_0.01_x10_cl10_cs4	0.7_0.01_x10_cl10_cs4	0.8_0.01_x10_cl10_cs4	0.675_0.01_x10_cl10_cs4	0.4_0.01_x10_cl10_cs4	0.5_0.01_x10_cl10_cs4	0.675_0.01_x10_cl5_cs4	0.675_0.01_x10_cl10_cs8	0.675_0.01_x10_cl10_cs16	0.675_0.01_x10_cl20_cs4
29.28243911194675	29.37717638662738	29.335931956855013	29.366264112221273	29.389710469161066	29.282439111946747	29.335892410218282	29.282439111946747	29.28243911194675	29.28243911194675	29.35701963991089	29.341265203379095	29.301386634651774
29.282531691960408	29.379367877271065	29.33602453686867	29.368302412669898	29.389808867512002	29.282531691960404	29.337251806480907	29.282531691960404	29.282531691960408	29.282531691960408	29.36001578928647	29.341357783392752	29.30147921466543
29.301409025417207	29.388310834978924	29.37064897961759	29.368490703121186	29.39965355295229	29.288534865930675	29.34334756046484	29.30150160543086	29.283798508209376	29.28853486593068	29.36247684848277	29.342717179655377	29.336103657414352
29.338805221366222	29.397009974299756	29.374005971998876	29.368645377588177	29.47220614777967	29.30150160543086	29.35984373432985	29.338337641065376	29.334128170655276	29.32325188869326	29.36547299785835	29.36207032522976	29.33946064979564
29.367457693340633	29.39710837265069	29.382713627803035	29.368737957601834	29.47332237862654	29.32325188869325	29.359942132680782	29.38621343732269	29.335892410218282	29.377087499253626	29.366871057299843	29.362168723580695	29.355439810637673
29.39793786670789	29.397296496682422	29.394545054645757	29.369260261596857	29.474367085281507	29.329778054475856	29.362938282056366	29.38688637474211	29.335984990231935	29.38688637474211	29.367554990215382	29.379943231267315	29.35984373432985
29.40275283599018	29.397308473042656	29.395655058655773	29.36943039635247	29.476405385730132	29.35166678127719	29.381086626673802	29.38988252411769	29.341988164202217	29.38911296564202	29.36864537758818	29.380868547270204	29.35984373432985
29.40688082441575	29.397336804300018	29.395959554963923	29.36945872760983	29.4807995945472	29.358547031342805	29.38399394917888	29.394185879880798	29.357967325044246	29.38917209803232	29.370004773850802	29.38096694562114	29.359942132680782
29.4326765186241	29.400304622418233	29.403430352191176	29.37009735386446	29.486738581901633	29.371426825132716	29.384022280436238	29.3967310601824	29.376937238514707	29.38988252411769	29.376100527834737	29.38971046916107	29.359942132680782
29.438749573463856	29.401727038254016	29.4054686526398	29.37214855261464	29.486818610767138	29.375282743551388	29.392654030124625	29.401725080809708	29.38688637474211	29.390093156287623	29.38011698446073	29.389808867512002	29.362938282056362
29.43884797181479	29.40343035219118	29.408539825393362	29.37482841188689	29.487397653617382	29.390967274549944	29.404748400574494	29.40679770282746	29.389808867512002	29.391937060060982	29.38080091737627	29.392805016887582	29.37693711128707
29.448927673967738	29.4054686526398	29.41250004317265	29.376193107848394	29.48744488482583	29.391715708312496	29.405899957285513	29.42316470709808	29.38988252411769	29.392035458411915	29.38856618662195	29.403763205465673	29.37912860193076
29.451330668616365	29.40745428958575	29.416154345231366	29.376937111287074	29.48963637546952	29.399930196239502	29.40805624951601	29.46998299398652	29.39965355295229	29.396652166570924	29.38866458497288	29.40528771368916	29.380080513650114
29.46239433196665	29.40964578022944	29.416792137672974	29.379128601930763	29.496091420026982	29.40415580993936	29.4195958574525	29.470011325243878	29.40745428958575	29.39887873569056	29.393215105064968	29.411717928763487	29.380178912001046
29.46748014806276	29.410147509643394	29.417392090465682	29.383588933535982	29.499481060909805	29.404961635473384	29.42244044549424	29.4754093407783	29.41024451971883	29.398977134041488	29.39702655172608	29.41390941940718	29.382737836959624
29.469739753733496	29.410354299811576	29.418997606785084	29.38399394917888	29.500216033246357	29.41050164869765	29.435575018294532	29.48073423893436	29.411158294890114	29.39929713118369	29.398522295885513	29.414392848762485	29.382738392525315
29.470364925038027	29.412937739776485	29.420801298569657	29.384022280436234	29.500365728738995	29.41147865342318	29.441318898258707	29.48442501055618	29.413646905903875	29.39932546244105	29.40663130834006	29.415162407238157	29.395220533761197
29.471390111777115	29.41474146189965	29.422293485455093	29.38807155963862	29.503497067244016	29.41492313189785	29.446823749210537	29.501197240804476	29.438983778987307	29.401536059000065	29.418837786885152	29.415305120643012	29.40813116226114
29.471482691790772	29.425456784564926	29.42288789165691	29.38807433904778	29.509039230228485	29.43464721900208	29.446852080467906	29.504436722500355	29.439947975724508	29.40342458614362	29.42127782736914	29.416351377039444	29.416641116990462
29.476460679021958	29.426894788020306	29.42822747027294	29.393838634619165	29.513051512514025	29.434982535848263	29.451612732678036	29.532174843319343	29.44248702765357	29.403517166157275	29.424251392152822	29.42130726020291	29.419645807796613
29.47756383878309	29.427987389060537	29.43090535459743	29.40171547010774	29.5135568522189	29.438004211383365	29.460069676371432	29.536569052136407	29.442944125100087	29.404518155213484	29.42644288279651	29.423536028375374	29.420799866139
29.480746937704573	29.444527877269262	29.440492999300567	29.403024993024847	29.514410908776647	29.444623465056385	29.476303388123856	29.536740051308676	29.447501543734766	29.40989809373181	29.429233112929595	29.42740301418684	29.423670972384716
29.483155957008584	29.45369628296625	29.442149522164375	29.403123391375782	29.515400406668036	29.4562503328162	29.47661016458016	29.543192832858136	29.449355627485488	29.412571389601936	29.43128465197495	29.429767580314532	29.436916899545604
