4g_3s_x174	4g_8s_x172	4g_4s_x176	4g_2s_x350	4g_2s_x700	3g_2s_x192	2g_2s_x235	4g_1s_x134	5g_2s_x128	1g_2s_x299	4g_2s_x174	4g_8s_x172
29.288534865930675	29.33979094391102	29.37272844585279	29.282439111946747	29.320356548122234	29.380190681073756	29.302838610928056	29.360539675969406	29.31730583020196	29.40557399323635	29.36832260784437	29.3108081410054
29.288627445944336	29.360015789286475	29.37418174869843	29.282531691960404	29.326452302106166	29.391098672514428	29.358342375245584	29.36892194200911	29.336253352906986	29.409097375057875	29.369775910690006	29.31559999138147
29.2898942621933	29.375086086560568	29.38870760669483	29.283798508209372	29.33447732483828	29.39332526341434	29.377493179552044	29.419241562311484	29.344823369616375	29.440353201791783	29.372593170448948	29.35058771805855
29.289986842206957	29.375275644938437	29.390160909540466	29.28389108822303	29.34057307882221	29.395335035338928	29.38906734004191	29.42084160490406	29.344973065109016	29.448025865665308	29.37730727137461	29.35698297898296
29.317734254596296	29.380432119887548	29.39169835932325	29.288534865930675	29.347583863394767	29.396591473031243	29.389848986744862	29.432414769697886	29.34634906721749	29.457729914217825	29.38133592059784	29.361774829359035
29.319093650858917	29.387798949192216	29.393151662168883	29.2898942621933	29.350764507211686	29.404277993046794	29.390179189041998	29.43519657722351	29.352232513749023	29.46335559653931	29.38330695137578	29.37613378328942
29.336704168066753	29.393848323162644	29.40879472697271	29.289986842206957	29.350764507211693	29.40846795270966	29.39328654110968	29.438616970410266	29.357902439563883	29.464063580048812	29.38433206997342	29.396378386878574
29.337233204722413	29.397196827840283	29.41863213713015	29.3014090254172	29.353679617378695	29.411593384581792	29.39373327147322	29.44180871151601	29.362871454041574	29.46485599844	29.387292521314823	29.401360485543346
29.342799922050684	29.398483710880363	29.42008543997579	29.30150160543086	29.35376065658727	29.41545810823474	29.412441520291846	29.44533779140234	29.363480668179523	29.469324982277897	29.38996245064418	29.407418531889334
29.342892502064338	29.402941638487544	29.425020361322524	29.30276842167983	29.35376065658727	29.4172258032483	29.41562521293409	29.445653330427923	29.36399819354781	29.495117441445203	29.390160909540466	29.40819684921374
29.34379085921082	29.403228379732084	29.429094555272265	29.302861001693483	29.354127214347663	29.4192652660327	29.417426818139795	29.4477780972546	29.36529658992252	29.504769371043302	29.392610453379422	29.411812740706406
29.34415931831331	29.404339437400946	29.429338157347914	29.307504779401132	29.35712336372324	29.420285627780622	29.427015224676513	29.453713886310474	29.36635329046507	29.51090314573365	29.394752123872934	29.419474087221143
29.347281669419242	29.405671855229777	29.43117106371304	29.308864175663757	29.35712336372324	29.421055186256293	29.430767902229405	29.455277353782805	29.369576422163455	29.51675735127518	29.395234730973062	29.424675772436874
29.35457029023081	29.40754686831851	29.436467074347824	29.310715560991742	29.357192583756742	29.424765063518983	29.43265978769135	29.474300893425415	29.370874818538155	29.51772665189172	29.400103531219145	29.42613969321088
29.3592462308108	29.408711961573218	29.44638310508884	29.316546920571373	29.3572851637704	29.428825690383466	29.434852936833003	29.47494365434213	29.372783719052105	29.531028581088457	29.402621792000538	29.427960407792057
29.36199297881504	29.410298854718768	29.45051254037997	29.31927514758126	29.35984373432985	29.430153267802922	29.43613567504123	29.475699163958588	29.375884859076386	29.531939428630974	29.404132180442378	29.430739018733636
29.364001672587513	29.410570787587986	29.451296718730163	29.31936772759492	29.363161969495337	29.432517491448117	29.438237214500194	29.480146567475796	29.375917260914452	29.532894396396106	29.407128329817954	29.431112686638716
29.365472997858355	29.420573474326773	29.4527500215758	29.320728450426902	29.36325454950899	29.434356706567502	29.43874269559976	29.486047519954674	29.378913410290032	29.533245892418392	29.410262143514355	29.432197739556866
29.37263370506379	29.42318202432551	29.453244393184093	29.331044870724824	29.364180710486778	29.43464721900208	29.442291453550062	29.488227668071495	29.380118512265923	29.533884019881036	29.41053791297787	29.434922626380427
29.379471994985508	29.424459418667567	29.454796795865256	29.33589241021828	29.366124933112594	29.436634546227932	29.44535275106239	29.489318174519052	29.38242819088455	29.538142651926247	29.411202655429058	29.43518701224982
